Country Name,Year,Indicator Name,Value
France,2024,Arms imports (SIPRI trend indicator values),188000000
France,2023,Arms imports (SIPRI trend indicator values),120000000
France,2022,Arms imports (SIPRI trend indicator values),133000000
France,2021,Arms imports (SIPRI trend indicator values),105000000
France,2020,Arms imports (SIPRI trend indicator values),225000000
France,2019,Arms imports (SIPRI trend indicator values),104000000
France,2018,Arms imports (SIPRI trend indicator values),201000000
France,2017,Arms imports (SIPRI trend indicator values),84000000
France,2016,Arms imports (SIPRI trend indicator values),38000000
France,2015,Arms imports (SIPRI trend indicator values),36000000
France,2014,Arms imports (SIPRI trend indicator values),17000000
France,2013,Arms imports (SIPRI trend indicator values),104000000
France,2012,Arms imports (SIPRI trend indicator values),86000000
France,2011,Arms imports (SIPRI trend indicator values),41000000
France,2010,Arms imports (SIPRI trend indicator values),103000000
France,2009,Arms imports (SIPRI trend indicator values),72000000
France,2008,Arms imports (SIPRI trend indicator values),2000000
France,2007,Arms imports (SIPRI trend indicator values),75000000
France,2006,Arms imports (SIPRI trend indicator values),68000000
France,2005,Arms imports (SIPRI trend indicator values),2000000
France,2004,Arms imports (SIPRI trend indicator values),93000000
France,2003,Arms imports (SIPRI trend indicator values),55000000
France,2002,Arms imports (SIPRI trend indicator values),38000000
France,2001,Arms imports (SIPRI trend indicator values),61000000
France,2000,Arms imports (SIPRI trend indicator values),98000000
France,1999,Arms imports (SIPRI trend indicator values),105000000
France,1998,Arms imports (SIPRI trend indicator values),171000000
France,1997,Arms imports (SIPRI trend indicator values),223000000
France,1996,Arms imports (SIPRI trend indicator values),64000000
France,1995,Arms imports (SIPRI trend indicator values),97000000
France,1994,Arms imports (SIPRI trend indicator values),80000000
France,1993,Arms imports (SIPRI trend indicator values),96000000
France,1992,Arms imports (SIPRI trend indicator values),424000000
France,1991,Arms imports (SIPRI trend indicator values),948000000
France,1990,Arms imports (SIPRI trend indicator values),65000000
France,1989,Arms imports (SIPRI trend indicator values),107000000
France,1988,Arms imports (SIPRI trend indicator values),133000000
France,1987,Arms imports (SIPRI trend indicator values),84000000
France,1986,Arms imports (SIPRI trend indicator values),100000000
France,1985,Arms imports (SIPRI trend indicator values),20000000
France,1984,Arms imports (SIPRI trend indicator values),73000000
France,1983,Arms imports (SIPRI trend indicator values),108000000
France,1982,Arms imports (SIPRI trend indicator values),142000000
France,1981,Arms imports (SIPRI trend indicator values),106000000
France,1980,Arms imports (SIPRI trend indicator values),70000000
France,1979,Arms imports (SIPRI trend indicator values),107000000
France,1978,Arms imports (SIPRI trend indicator values),231000000
France,1977,Arms imports (SIPRI trend indicator values),194000000
France,1976,Arms imports (SIPRI trend indicator values),186000000
France,1975,Arms imports (SIPRI trend indicator values),45000000
France,1974,Arms imports (SIPRI trend indicator values),46000000
France,1973,Arms imports (SIPRI trend indicator values),51000000
France,1972,Arms imports (SIPRI trend indicator values),33000000
France,1971,Arms imports (SIPRI trend indicator values),57000000
France,1970,Arms imports (SIPRI trend indicator values),44000000
France,1969,Arms imports (SIPRI trend indicator values),64000000
France,1968,Arms imports (SIPRI trend indicator values),123000000
France,1967,Arms imports (SIPRI trend indicator values),98000000
France,1966,Arms imports (SIPRI trend indicator values),106000000
France,1965,Arms imports (SIPRI trend indicator values),378000000
France,1964,Arms imports (SIPRI trend indicator values),1300000000
France,1963,Arms imports (SIPRI trend indicator values),162000000
France,1962,Arms imports (SIPRI trend indicator values),122000000
France,1961,Arms imports (SIPRI trend indicator values),321000000
France,1960,Arms imports (SIPRI trend indicator values),526000000
France,2024,Arms exports (SIPRI trend indicator values),2272000000
France,2023,Arms exports (SIPRI trend indicator values),2150000000
France,2022,Arms exports (SIPRI trend indicator values),3123000000
France,2021,Arms exports (SIPRI trend indicator values),3836000000
France,2020,Arms exports (SIPRI trend indicator values),2384000000
France,2019,Arms exports (SIPRI trend indicator values),3738000000
France,2018,Arms exports (SIPRI trend indicator values),1897000000
France,2017,Arms exports (SIPRI trend indicator values),2319000000
France,2016,Arms exports (SIPRI trend indicator values),2185000000
France,2015,Arms exports (SIPRI trend indicator values),2252000000
France,2014,Arms exports (SIPRI trend indicator values),1758000000
France,2013,Arms exports (SIPRI trend indicator values),1887000000
France,2012,Arms exports (SIPRI trend indicator values),1338000000
France,2011,Arms exports (SIPRI trend indicator values),2096000000
France,2010,Arms exports (SIPRI trend indicator values),901000000
France,2009,Arms exports (SIPRI trend indicator values),1845000000
France,2008,Arms exports (SIPRI trend indicator values),1872000000
France,2007,Arms exports (SIPRI trend indicator values),2145000000
France,2006,Arms exports (SIPRI trend indicator values),1478000000
France,2005,Arms exports (SIPRI trend indicator values),1644000000
France,2004,Arms exports (SIPRI trend indicator values),2117000000
France,2003,Arms exports (SIPRI trend indicator values),1343000000
France,2002,Arms exports (SIPRI trend indicator values),1368000000
France,2001,Arms exports (SIPRI trend indicator values),1306000000
France,2000,Arms exports (SIPRI trend indicator values),963000000
